Numero identification ,Frequence utilisation avion ?,Quelle taille mesurez-vous?,Qui devrait avoir le controle du hublot ?,Est-il imprudent de s'installer sur des sieges invendus dans les avions ?,Est-il impoli de parler dans une conversation a l'etranger a cote de vous ?,Est-il impoli d'incliner votre siege dans un avion ?,Est-il impoli de reveiller un passager si vous essayez d'aller aux toilettes ?,En general  est-il impoli d'amener un bebe dans un avion ?,Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction ?,Genre ,Age ,Revenu du menage ,Diplome ,Emplacement (region de recensement)
3434109246,Once a year or less,,,,,,,,,,,,,
3434107997,Once a year or less,"5'10""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,Yes  very rude,No  not at all rude,No  not at all rude,No,Male,21,35000,Bachelor degree,South Atlantic
3434100967,Once a year or less,"5'7""",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,No,Male,33,17500,Bachelor degree,East North Central
3434087928,Never,,,,,,,,,Male,22,75000,Bachelor degree,East North Central
3434084098,Never,,,,,,,,,Male,23,12500,Some college or Associate degree,East North Central
3434071488,Never,,,,,,,,,Male,24,75000,Bachelor degree,Pacific
3434061256,Never,,,,,,,,,Male,33,,High school degree,Middle Atlantic
3434059758,Never,,,,,,,,,Male,28,75000,Bachelor degree,Pacific
3434052290,Once a year or less,"6'0""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,No,Male,44,40000,Bachelor degree,East North Central
3434049700,Once a year or less,"6'2""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,Yes  somewhat rude,Yes,Male,19,75000,Some college or Associate degree,West South Central
3434041278,Once a year or less,"5'6""",The person in the window seat should have exclusive control,Yes  somewhat rude,No  not at all rude,No  not rude at all,No  not at all rude,Yes  somewhat rude,No,Male,38,150000,Some college or Associate degree,Pacific
3434033301,Once a year or less,"5'11""",The person in the window seat should have exclusive control,Yes  somewhat rude,No  not at all rude,Yes  somewhat rude,Yes  very rude,Yes  somewhat rude,No,Male,25,,Bachelor degree,Middle Atlantic
3434024435,Once a year or less,"5'10""",The person in the window seat should have exclusive control,No  not rude at all,Yes  very rude,Yes  somewhat rude,No  not at all rude,Yes  very rude,No,Male,39,75000,Some college or Associate degree,South Atlantic
3434018106,A few times per week,,,,,,,,,,,,,
3434016416,Once a year or less,"6'2""",Everyone in the row should have some say,Yes  somewhat rude,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,No,Male,34,75000,Bachelor degree,West South Central
3434013636,Every day,"5'7""",The person in the window seat should have exclusive control,Yes  somewhat rude,Yes  somewhat rude,Yes  very rude,Yes  somewhat rude,Yes  very rude,Yes,Male,22,17500,Some college or Associate degree,Pacific
3434009177,Once a year or less,"5'10""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,Yes  very rude,Yes  somewhat rude,No  not at all rude,No,Male,25,75000,Some college or Associate degree,Pacific
3434003204,Once a year or less,"6'0""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,Yes  somewhat rude,Yes  somewhat rude,No,Male,24,17500,Bachelor degree,Pacific
3434003093,Once a year or less,"5'11""",Everyone in the row should have some say,Yes  somewhat rude,No  not at all rude,Yes  somewhat rude,No  not at all rude,No  not at all rude,No,Male,26,35000,Some college or Associate degree,Pacific
3433976285,Never,,,,,,,,,Male,28,,High school degree,South Atlantic
3433973110,Never,,,,,,,,,Male,34,35000,Some college or Associate degree,West South Central
3433964953,Once a year or less,"5'5""",The person in the window seat should have exclusive control,Yes  somewhat rude,No  not at all rude,Yes  somewhat rude,No  not at all rude,Yes  somewhat rude,No,Male,26,15000,High school degree,Pacific
3433964124,Once a year or less,"6'0""",The person in the window seat should have exclusive control,No  not rude at all,Yes  somewhat rude,No  not rude at all,No  not at all rude,No  not at all rude,No,Male,38,,Bachelor degree,New England
3433957540,Once a year or less,"5'7""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,Yes  somewhat rude,No  not at all rude,No  not at all rude,Yes,Male,27,37500,Bachelor degree,Pacific
3433954490,Never,,,,,,,,,Male,22,35000,Some college or Associate degree,East South Central
3433928804,Once a year or less,"5'7""",Everyone in the row should have some say,No  not rude at all,Yes  somewhat rude,Yes  very rude,Yes  somewhat rude,No  not at all rude,No,Male,21,150000,Bachelor degree,South Atlantic
3433926438,A few times per month,"6'2""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,No,Male,26,,Graduate degree,South Atlantic
3433914630,Once a year or less,"6'4""",The person in the window seat should have exclusive control,No  not rude at all,Yes  somewhat rude,Yes  somewhat rude,Yes  somewhat rude,Yes  somewhat rude,No,Male,36,12500,Bachelor degree,Mountain
3433912503,Once a year or less,"6'0""",Everyone in the row should have some say,No  not rude at all,Yes  somewhat rude,No  not rude at all,No  not at all rude,Yes  somewhat rude,No,Male,19,12500,Some college or Associate degree,East North Central
3433895905,Once a year or less,"5'10""",The person in the window seat should have exclusive control,No  not rude at all,Yes  somewhat rude,No  not rude at all,Yes  somewhat rude,No  not at all rude,No,Male,31,75000,Some college or Associate degree,South Atlantic
3433890093,Once a year or less,"6'0""",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,Yes,Male,26,12500,Bachelor degree,Pacific
3433882884,Never,,,,,,,,,Male,30,12500,Some college or Associate degree,East North Central
3433881615,A few times per month,"5'7""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,No,Male,18,12500,Some college or Associate degree,West North Central
3433880747,Once a year or less,"5'9""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,No,Male,19,12500,Some college or Associate degree,Mountain
3433877510,Once a year or less,"6'1""",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,Yes  very rude,No  not at all rude,Yes  somewhat rude,Yes,Male,44,,Graduate degree,East North Central
3433877337,Once a month or less,"6'2""",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,Yes  somewhat rude,No  not at all rude,No  not at all rude,No,Male,30,75000,Bachelor degree,East North Central
3433873724,Once a month or less,"5'11""",Everyone in the row should have some say,Yes  somewhat rude,No  not at all rude,No  not rude at all,Yes  somewhat rude,No  not at all rude,No,Male,18,35000,Bachelor degree,Pacific
3433863512,Once a month or less,"6'6"" and above",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,Yes,Male,44,,Graduate degree,Pacific
